language_id,language_name,language_location,continent,field_worker_1,field_worker_2,field_worker_3,Unnamed: 6,Unnamed: 7
1,Abidji,Ivory Coast,Africa,*,*,*,Abidji_DAT_new.txt,new
2,Agarabi,Papua New Guinea,Oceania,J. Goddard and L. Luff,Scott Merrifield and Bruce Hansen,Bruce Hansen,Agarabi_DAT_new.txt,new
3,Casiguran Agta,Philippines,Asia,Thomas N. Headland,Jason D. Patent,*,Agta_DAT_new.txt,new
4,Aguacateco,Guatemala,North America,"H S McArthur, Tino",Ken Merrifield,Ken Merrifield,Aguacatec_DAT_new.txt,new
5,Amarakaeri,Peru,South America,*,*,*,Amarakaeri_DAT_new.txt,new
6,Ampeeli,Papua New Guinea,Oceania,E. West,Jason Patent,*,Ampeeli_DAT_new.txt,new
7,Amuzgo,Mexico,North America,*,*,*,Amuzgo_Brk_DAT_new.txt,new
8,Angaatiha,Papua New Guinea,Oceania,*,*,*,Angaatiha_DAT_new.txt,new
9,Apinaye,Brazil,South America,June Morris,Ken Merrifield,Ken Merrifield,Apinaye_DAT_new.txt,new
10,Arabela,Peru,South America,R. and B. Rich,Jason Patent,*,Arabela_DAT_new.txt,new
11,Bahinemo,Papua New Guinea,Oceania,*,*,*,Bahinemo_DAT_new.txt,new
12,Bauzi,Indonesia,Asia,*,*,*,Bauzi_DAT_new.txt,new
13,Berik,Indonesia,Asia,*,*,*,Berik_DAT_new.txt,new
14,Bete,Ivory Coast,Africa,*,*,*,Bete_DAT_new.txt,new
15,Bhili,India,Asia,*,*,*,Bhili_DAT_new.txt,new
16,Buglere,Panama,North America,*,*,*,Buglere_DAT_new.txt,new
17,Cakchiquel,Guatemala,North America,J. Munson,Scott Merrifield,William R. Merrifield,Cakchiquel_DAT_new.txt,new
18,Ucayali Campa,Peru,South America,Allene Heitzman,Jason D. Patent,*,Campa_DAT_new.txt,new
19,Camsa,Colombia,South America,*,*,*,Camsa_DAT_new.txt,new
20,Candoshi,Peru,South America,*,*,*,Candoshi_DAT_new.txt,new
21,Cavinena,Bolivia,South America,*,*,*,Cavinena_DAT_new.txt,new
22,Cayapa,Ecuador,South America,Neil Wiebe,Scott Merrifield,William R. Merrifield,Cayapa_DAT_new.txt,new
23,Chacobo,Bolivia,South America,*,*,*,Chacobo_DAT_new.txt,new
24,Chavacano,Philippines,Asia,*,*,*,Chavacano_DAT_new.txt,new
25,Chayahuita,Peru,South America,*,*,*,Chayahuita_DAT_new.txt,new
26,Chinanteco,Mexico,North America,Al & Jeff Anderson,Jason D. Patent,*,Chinantec_DAT_new.txt,new
27,Chiquitano,Bolivia,South America,"M. Kr{\x9F}si, L. Rodriguez, E. Lyn (?)",Jason Patent,*,Chiquitano_DAT_new.txt,new
28,Chumburu,Ghana,Africa,Hansford,Scott Merrifield,William R. Merrifield,Chumburu_DAT_new.txt,new
29,Cofan,Ecuador,South America,*,*,*,Cofan_DAT_new.txt,new
30,Colorado,South Sudan,Africa,*,*,*,Colorado_DAT_new.txt,new
31,Eastern Cree,Canada,North America,Lieselotte Bartlett,Scott Merrifield,William R. Merrifield,Cree_DAT_new.txt,new
32,Culina,"Peru, Brazil",South America,P. Adams and T. Fern{\x87}ndez,Jason Patent,*,Culina_DAT_new.txt,new
33,Didinga,South Sudan,Africa,*,*,*,Didinga_DAT_new.txt,new
34,Djuka,French Guiana,South America,*,*,*,Djuka_DAT_new.txt,new
35,Dyimini,Ivory Coast,Africa,*,*,*,Dyimini_DAT_new.txt,new
36,Ejagam,Cameroon,Africa,*,*,*,Ejagham_DAT_new.txt,new
37,Ese Ejja,Bolivia,South America,Kenneth and Joyce Prettol,Scott Merrifield,William R. Merrifield,Ese-Ejja_DAT_new.txt,new
38,Carib,Guatemala,North America,Teodora Gamboa,William R. Merrifield,William R. Merrifield,Garifuna_DAT_new.txt,new
39,Guahibo,Colombia,South America,Riena Kondo,Kenneth J. Merrifield,William R. Merrifield,Guahibo_DAT_new.txt,new
40,Guambiano,Colombia,South America,*,*,*,Guambiano_DAT_new.txt,new
41,Guarijio,Mexico,North America,Ron and Sharon Stoltzfus,Kenneth J. Merrifield,William R. Merrifield,Guarijio_DAT_new.txt,new
42,Ng{\x8A}bere,Panama,North America,Arosemena,"Patent, Jason",*,Guaymi_DAT_new.txt,new
43,Gunu,Cameroon,Africa,D. Heath,Ken Merrifield,Ken Merrifield,Gunu_DAT_new.txt,new
44,Halbi,India,Asia,F. Woods and P. Hopple,Jason Patent,*,Halbi_DAT_new.txt,new
45,Huasteco,Mexico,North America,*,*,*,Huastec_DAT_new.txt,new
46,Huave,Mexico,North America,G + E Stairs,Scott Merrifield,William R. Merrifield,Huave_DAT_new.txt,new
47,Iduna,Papua New Guinea,Oceania,Ramona Lucht,Jason D. Patent,*,Iduna_DAT_new.txt,new
48,Ifugao,Philippines,Asia,RICHARD AND LOU HOHULIN,KENNETH MERRIFIELD,WILLIAM R. MERRIFIELD,Ifugao_DAT_new.txt,new
49,Sepik Iwam,Papua New Guinea,Oceania,Sailas Yaumor and Jona Yhombwan,Kenneth J. Merrifield,William R. Merrifield,Iwam_DAT_new.txt,new
50,Jicaque,Honduras,North America,*,*,*,Jicaque_DAT_new.txt,new
51,Kalam,Papua New Guinea,Oceania,*,*,*,Kalam_DAT_new.txt,new
52,Kamano-Kafe,Papua New Guinea,Oceania,*,*,*,Kamano-Kafe_DAT_new.txt,new
53,Karaja,Brazil,South America,*,*,*,Karaja_DAT_new.txt,new
54,Kemtuik,Indonesia,Asia,Jelly van de Wilden,Scott Merrifield,Scott Merrifield,Kemtuik_DAT_new.txt,new
55,Kokoni,India,Asia,*,*,*,Kokni_DAT_new.txt,new
56,Konkomba,Ghana,Africa,M. A. Langdon,Ken Merrifield,Ken Merrifield,Konkomba_DAT_new.txt,new
57,Kriol,Belize,North America,*,*,*,Kriol_DAT_new.txt,new
58,Kuku-Yalanji,Australia,Oceania,*,*,*,Kuku-Yalanji_DAT_new.txt,new
59,Long-haired Kuna,Panama,North America,Forster,Jason D. Patent,*,Kuna_DAT_new.txt,new
60,Kwerba,Indonesia,Asia,*,*,*,Kwerba_DAT_new.txt,new
61,Lele,CHAD,Africa,Pam Simons and Salet Samuel,William R. Merrifield,William R. Merrifield,Lele_DAT_new.txt,new
62,Mampruli,Ghana,Africa,Naden,Jason D. Patent,*,Mampruli_DAT_new.txt,new
63,Maring,Papua New Guinea,Oceania,S. Woodward,Jason Patent,*,Maring_DAT_new.txt,new
64,Martu Wangka,Australia,Oceania,*,*,*,MartuWangka_DAT_new.txt,new
65,Mawchi,Myanmar,Asia,*,*,*,Mawchi_DAT_new.txt,new
66,Mayoruna,"Peru, Brazil",South America,*,*,*,Mayoruna_DAT_new.txt,new
67,Mazahua,Mexico,North America,*,*,*,Mazahua_DAT_new.txt,new
68,Mazateco,Mexico,North America,*,*,*,Mazatec_DAT_new.txt,new
69,Menye,Papua New Guinea,Oceania,Carl & Pat Whitehead,Data Input Person,Bill Merrifield,Menya_DAT_new.txt,new
70,Micmac,Canada,North America,*,*,*,Micmac_DAT_new.txt,new
71,Mikasuki,U S A,North America,David West,Scott Merrifield,Scott Merrifield,Mikasuki_DAT_new.txt,new
72,Mixteco,Mexico,North America,*,*,*,Mixtec_DAT_new.txt,new
73,Mundu,South Sudan,Africa,*,*,*,Mundu_DAT_new.txt,new
74,Mura-Piraha,Brazil,South America,*,*,*,Mura-Piraha_DAT_new.txt,new
75,Murle,South Sudan,Africa,*,*,*,Murle_DAT_new.txt,new
76,Murinbata,Australia,Oceania,*,*,*,Murrinh-Patha_DAT_new.txt,new
77,Nafaanra,Ghana,Africa,*,*,*,Nafaanra_DAT_new.txt,new
78,Nahuatl,Mexico,North America,*,*,*,Nahuatl_DAT_new.txt,new
79,Ocaina,"Peru, Colombia",South America,*,*,*,Ocaina_DAT_new.txt,new
80,Papago,Mexico,North America,*,*,*,Oodham_DAT_new.txt,new
81,Patep,Papua New Guinea,Oceania,*,*,*,Patep_DAT_new.txt,new
82,Paya,Honduras,North America,*,*,*,Paya_DAT_new.txt,new
83,Podopa,Papua New Guinea,Oceania,*,*,*,Podopa_DAT_new.txt,new
84,Saramaccan,Suriname,South America,*,*,*,Saramaccan_DAT_new.txt,new
85,Seri,Mexico,North America,*,*,*,Seri_DAT_new.txt,new
86,Shipibo,Peru,South America,Guillermo Ramirez,Ken Merrifield,Ken Merrifield,Shipibo_DAT_new.txt,new
87,Siriono,Bolivia,South America,*,*,*,Siriono_DAT_new.txt,new
88,Slave,Canada,North America,Monus,Jason D. Patent,*,Slave_DAT_new.txt,new
89,Sursurunga,Papua New Guinea,Oceania,*,*,*,Sursurunga_DAT_new.txt,new
90,Tabla,Indonesia,Asia,*,*,*,Tabla_DAT_new.txt,new
91,Tacana,Bolivia,South America,Ottaviano,Jason D. Patent,*,Tacana_DAT_new.txt,new
92,Central Tarahumara,Mexico,North America,Don Burgess,Scott Merrifield,William R Merrifield,Tarahumara-C_DAT_new.txt,new
93,W. Tarahumara,Mexico,North America,Don Burgess,Jason D. Patent,*,Tarahumara-W_DAT_new.txt,new
94,Tboli,Philippines,Asia,*,*,*,Tboli_DAT_new.txt,new
95,Teribe,Panama,North America,*,*,*,Teribe_DAT_new.txt,new
96,Ticuna,"Peru, Brazil, Colombia",South America,*,*,*,Ticuna_DAT_new.txt,new
97,Tifal,Papua New Guinea,Oceania,*,Jason D. Patent,*,Tifal_DAT_new.txt,new
98,Tlapaneco,Mexico,North America,*,*,*,Tlapanec_DAT_new.txt,new
99,Tucano,Colombia,South America,*,Jason D. Patent,*,Tucano_DAT_new.txt,new
100,Vagla,Ghana,Africa,*,*,*,Vagla_DAT_new.txt,new
101,Vasavi,India,Asia,*,*,*,Vasavi_DAT_new.txt,new
102,Waorani,Ecuador,South America,*,*,*,Waorani_DAT_new.txt,new
103,Walpiri,Australia,Oceania,*,*,*,Warlpiri_DAT_new.txt,new
104,Wobe,Ivory Coast,Africa,*,*,*,Wobe_DAT_new.txt,new
105,Yacouba,Ivory Coast,Africa,*,*,*,Yacouba_DAT_new.txt,new
106,Yakan,Philippines,Asia,*,*,*,Yakan_DAT_new.txt,new
107,Yaminahua,Peru,South America,L. Eakin and N. Faust,Jason Patent,*,Yaminahua_DAT_new.txt,new
108,Yucuna,Colombia,South America,Schauer,Jason D. Patent,*,Yucuna_DAT_new.txt,new
109,Yupik,Siberia,Asia,*,*,*,Yupik_DAT_new.txt,new
110,Zapoteco,Mexico,North America,*,*,*,Zapotec_DAT_new.txt,new